簡章代碼,系所別,組別,報考人數,招生名額,錄取人數,錄取情況,錄取最低分數,錄取率,備取人數,本校最低門檻
702,商學研究所,乙組,181,11,11,NA,160.46000000000001,0.060773480662983423,3,80
703,會計學系,NA,476,26,28,同分2,298,0.058823529411764705,10,200
704,財務金融學系,甲組(財務金融),329,13,14,流用1 甄試缺,226.47999999999999,0.042553191489361701,0,120
705,財務金融學系,乙組(財務工程),57,7,7,NA,215.02000000000001,0.12280701754385964,0,120
706,財務金融學系,丙組(保險),82,4,4,NA,220.37,0.04878048780487805,0,120
707,國際企業學系,甲組,146,9,9,NA,142.09999999999999,0.061643835616438353,3,80
708,國際企業學系,乙組,970,18,19,流用1 甄試缺,158.33000000000001,0.019587628865979381,6,80
709,國際企業學系,丙組(國際財務工程),123,10,10,NA,134.69999999999999,0.081300813008130079,3,80
710,國際企業學系,丁組,NA,NA,NA,NA,NA,NA,NA,80
711,資訊管理學系,NA,244,11,11,NA,330.19999999999999,0.045081967213114756,7,120
801,健康政策與管理研究所,甲組(健康促進組),81,6,6,NA,159.80000000000001,0.07407407407407407,2,80
802,健康政策與管理研究所,乙組(健康服務與產業組),88,6,7,流用1,136,0.079545454545454544,2,80
803,職業醫學與工業衛生及環境衛生研究所,甲組(二所組聯合招生),47,12,14,流用2,NA,0.2978723404255319,10,120
803A,職業醫學與工業衛生研究所,甲組,NA,6,7,NA,202.30000000000001,NA,NA,NA
803B,環境衛生研究所,甲組,NA,6,7,NA,201.80000000000001,NA,NA,NA
804,職業醫學與工業衛生及環境衛生研究所,乙組(二所組聯合招生),5,3,0,缺額3,NA,0,0,80
805,職業醫學與工業衛生研究所,丙組,6,2,3,流用1,235.25,0.5,2,120
806,流行病學與預防醫學研究所,甲組(流行病學),89,8,8,NA,155,0.0898876404494382,5,80
807,流行病學與預防醫學研究所,乙組(生物醫學統計學),27,5,5,NA,170.84999999999999,0.18518518518518517,3,120
808,流行病學與預防醫學研究所,丙組(預防醫學),22,6,6,NA,194.40000000000001,0.27272727272727271,3,120
809,公共衛生碩士學位學程,甲組(生物統計),NA,NA,NA,NA,NA,NA,NA,80
810,公共衛生碩士學位學程,乙組(流行病學與預防醫學),NA,NA,NA,NA,NA,NA,NA,80
811,公共衛生碩士學位學程,丙組(社會與行為科學組),NA,NA,NA,NA,NA,NA,NA,40
812,公共衛生碩士學位學程,丁組(健康服務管理組),NA,NA,NA,NA,NA,NA,NA,40
813,公共衛生碩士學位學程,戊組(環境健康科學領域),NA,NA,NA,NA,NA,NA,NA,40
901,電機工程學系,甲組(主修自動控制),110,12,12,NA,200.19999999999999,0.10909090909090909,15,128
902,電機工程學系,乙組(主修電力系統與電力電子),61,3,3,NA,205.80000000000001,0.049180327868852458,7,128
903,電機工程學系,丙組(主修計算機科學),394,11,11,NA,214.80000000000001,0.027918781725888325,30,124
904,資訊工程學系,NA,695,63,64,同分1,143.5,0.092086330935251801,50,120
905,光電工程學研究所,NA,252,30,31,同分1,176,0.12301587301587301,22,120
906,電信工程學研究所,甲組(主修電波),125,14,15,同分1,189.40000000000001,0.12,3,124
907,電信工程學研究所,乙組(主修通訊與信號處理),110,31,31,NA,163.09999999999999,0.2818181818181818,15,104
908,電子工程學研究所,甲組(積體電路與系統),192,23,25,同分1流用1甄試缺,138.40000000000001,0.13020833333333334,20,88
909,電子工程學研究所,乙組(主修奈米電子含光電半導體),148,12,13,同分1,138,0.087837837837837843,20,90
910,電子工程學研究所,丙組(電子設計自動化),42,11,11,NA,160.69999999999999,0.26190476190476192,10,88
911,資訊網路與多媒體研究所,NA,186,13,13,NA,144.5,0.069892473118279563,15,120
912,生醫電子與資訊學研究所,甲組(主修生醫電子一),107,11,13,流用2,133.19999999999999,0.12149532710280374,12,88
913,生醫電子與資訊學研究所,乙組(主修生醫電子二),14,4,2,缺額2,98.799999999999997,0.14285714285714285,0,88
914,生醫電子與資訊學研究所,丙組(主修生醫資訊),28,5,5,NA,123.2,0.17857142857142858,5,88
A01,法律學系,甲組(主修基礎法學),31,9,5,缺額4,335.5,0.16129032258064516,0,200
A02,法律學系,乙組(主修公法學),294,24,25,流用1,323.5,0.085034013605442174,3,200
