"","編號","屋齡","建物移轉面積平方公尺","主要用途","主要建材","建築完成日期","總層數","建物分層"
"1","The serial number","room age","building shifting area square meter","the main use","main building materials","construction completes the date","total layer","building lamination"
"8656","RPWPMLTJJHPFFBA68CA","6","69.84","見其他登記事項","鋼筋混凝土造","102年7月2日","十四層",NA
"8657","RPSNMLQJJHPFFAA67CA","5","169.58","住家用","鋼骨鋼筋混凝土造","104年4月27日","三十三層","二十五層"
"8658","RPSNMLQJJHPFFAA67CA","5","43.29","見其他登記事項","鋼骨鋼筋混凝土造","104年4月27日","三十三層",NA
"8659","RPSNMLQJJHPFFAA67CA","5","2.39","見其他登記事項","鋼骨鋼筋混凝土造","104年4月27日","三十三層",NA
"8660","RPSNMLQJJHPFFAA67CA","5","19.67","見其他登記事項","鋼骨鋼筋混凝土造","104年4月27日","三十三層",NA
"8661","RPSNMLQJJHPFFAA67CA","5","51.78","見其他登記事項","鋼骨鋼筋混凝土造","104年4月27日","三十三層",NA
"8662","RPSNMLQJJHPFFAA67CA","5","28.11","見其他登記事項","鋼骨鋼筋混凝土造","104年4月27日","三十三層",NA
"8663","RPSNMLQJJHPFFAA67CA","5","3.96","見其他登記事項","鋼骨鋼筋混凝土造","104年4月27日","三十三層",NA
"8664","RPXNMLRKJHPFFCA58CA","1","60.62","住家用","鋼筋混凝土造","107年7月18日","十五層","六層"
"8665","RPXNMLRKJHPFFCA58CA","1","30.64","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層",NA
"8666","RPXNMLRKJHPFFCA58CA","1",".19","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層","一層"
"8667","RPXNMLRKJHPFFCA58CA","1",".11","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層",NA
"8668","RPXNMLRKJHPFFCA58CA","1","1.05","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層","一層 二層"
"8669","RPXNMLRKJHPFFCA58CA","1",".57","見其他登記事項","鋼筋混凝土造","107年7月18日","十五層",NA
