id,date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
ARG,2020-09-06,NA,1432938,478792,349132,9859,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-07,NA,1454079,488007,357388,10129,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-08,NA,1478559,500034,366590,10405,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-09,NA,1505237,512293,382490,10658,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-10,NA,1530955,524198,390098,10907,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-11,NA,1558464,535705,400121,11148,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-12,NA,1580323,546481,409771,11263,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-13,NA,1595286,555537,419513,11352,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-14,NA,1618508,565446,428953,11667,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-09-15,NA,1642921,577338,438883,11852,NA,NA,NA,44494502,3,3,2,4,2,2,2,4,2,1,2,87.96,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
