id,date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
BRA,2020-10-16,NA,NA,5200300,4526393,153214,NA,NA,NA,209469333,3,2,2,3,2,2,2,1,2,2,2,63.43,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-17,NA,NA,5224362,4526393,153675,NA,NA,NA,209469333,3,2,2,3,2,2,2,1,2,2,2,63.43,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-18,NA,NA,5224362,4526393,153675,NA,NA,NA,209469333,3,2,2,3,2,2,2,1,2,2,2,63.43,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-19,NA,NA,5250727,4526393,154176,NA,NA,NA,209469333,3,2,2,3,2,2,2,1,2,2,2,63.43,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-20,NA,NA,5273954,4526393,154837,NA,NA,NA,209469333,3,2,2,3,2,2,2,1,2,2,2,63.43,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-21,NA,NA,5298772,4526393,155403,NA,NA,NA,209469333,3,2,2,3,2,2,2,1,2,2,2,63.43,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-22,NA,NA,5323630,4526393,155900,NA,NA,NA,209469333,3,2,2,3,2,2,2,1,2,2,2,63.43,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-23,NA,NA,5353656,4526393,156471,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-24,NA,NA,5380635,4526393,156903,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-25,NA,NA,5394128,4526393,157134,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-26,NA,NA,5409854,4526393,157397,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-27,NA,NA,5439641,4914733,157946,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-28,NA,NA,5468270,4947777,158456,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-29,NA,NA,5494376,4962574,158969,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
BRA,2020-10-30,NA,NA,5516658,4987435,159477,NA,NA,NA,209469333,3,2,2,3,1,2,2,1,2,2,2,57.87,BRA,BR,76,BRL,1,Brazil,NA,NA,-14.235,-51.9253,NA,Brazil,BR
